detections,calls,ci
4.7,1849,0.7476314600122176
4.75,1860,0.7575216168532749
4.8,1861,0.8152280662489485
4.85,1895,0.8231416645997213
4.9,1905,0.8532193152994133
4.95,1941,0.870767362732435
5.0,1961,0.8543441929339719
5.05,1969,0.870767362732435
5.1,1977,0.8644022211910377
5.15,1978,0.9221898936770019
5.2,1979,0.9255683659244193
5.25,1990,0.9488809198208171
5.3,1991,0.9307420695337673
5.35,1994,0.9427885234770308
5.4,2003,0.9234907687681565
5.45,2005,0.9346035523150981
5.5,2050,0.9450777745773096
5.55,2057,0.9346035523150981
5.6,2060,0.913031872390006
5.65,2078,0.8795465877371136
5.7,2087,0.8666214860018184
5.75,2099,0.886073924681231
5.8,2118,0.9151332143464139
5.85,2121,0.901120524680245
5.9,2123,0.9591992493741849
5.95,2162,0.9748414230017104
6.0,2184,0.9799999999999999
6.05,2188,0.9649392727006192
6.1,2190,0.9790195095093864
6.15,2191,1.0020470048854995
6.2,2203,0.9760721284823164
6.25,2206,0.9689122767309742
6.3,2209,0.9611996670827555
6.35,2253,0.9529208781425664
6.4,2257,0.9741022533594714
6.45,2260,1.0039620510756369
6.5,2262,1.0137198824132827
6.55,2289,1.0688291725060652
6.6,2316,1.0500186665007438
6.65,2320,1.0670305525147814
6.7,2327,1.0744304537753946
6.75,2334,1.0634241862963245
6.8,2340,1.0334238239947828
6.85,2355,1.057991587868259
6.9,2371,1.0726412261329505
6.95,2377,1.0866516461129574
7.0,2381,1.0735362127101253
7.05,2383,1.1299786723651026
7.1,2415,1.1250809748635875
7.15,2430,1.1451751831051873
7.2,2437,1.131040582826275
7.25,2460,1.158515860918615
7.3,2469,1.18494928161504
7.35,2478,1.1618270955697323
7.4,2486,1.1545714356418142
7.45,2498,1.1717046556193247
7.5,2515,1.1470605912505232
7.55,2518,1.1299786723651026
7.6,2532,1.1035339596043252
7.65,2539,1.1111229454925318
7.7,2541,1.1686268865638851
7.75,2561,1.158515860918615
7.8,2565,1.1727287836494849
7.85,2572,1.1944346779962476
7.9,2580,1.191415628569644
7.95,2599,1.219893355994695
8.0,2602,1.2082251445819192
8.05,2614,1.19604172168031
8.1,2629,1.166982090693769
8.2,2630,1.1970450283928338
8.25,2664,1.1831242538296642
8.3,2665,1.2090197682420247
8.35,2677,1.2024484188521354
8.4,2686,1.2580696324130871
8.45,2691,1.2509883292820918
8.5,2701,1.2815162894009577
8.55,2713,1.258642046016261
8.6,2726,1.2427080107571529
8.65,2731,1.2339830630928448
8.7,2735,1.2326202983887615
8.75,2755,1.2540554214228332
8.8,2769,1.2822654951296162
8.9,2787,1.284510490420378
8.95,2789,1.2738115245200132
9.0,2797,1.3074830782843807
9.05,2814,1.3255383057460088
9.1,2823,1.335823042172877
9.15,2840,1.3878336355629948
9.2,2850,1.410655450491012
9.25,2877,1.4057108522025432
9.3,2884,1.4004059411470662
9.35,2894,1.4016055793267945
9.4,2900,1.436293563308003
9.45,2905,1.4300950318073269
9.5,2920,1.423532226540727
9.55,2931,1.3961131043006505
9.6,2939,1.4092931561602076
9.65,2954,1.387833635562995
9.7,2974,1.358634903128872
9.75,2984,1.3850628144600519
9.8,2986,1.4376302723579524
9.85,2987,1.4619747603840494
9.9,3007,1.479118386066511
9.95,3037,1.4698366575915842
10.0,3051,1.466729695615385
10.05,3055,1.4632880099283256
10.1,3060,1.4984709540061163
10.15,3082,1.5008724795931196
10.2,3083,1.4965469588355722
10.25,3108,1.5237345569356888
10.3,3117,1.5376946380865089
10.4,3120,1.5457927416054198
10.45,3136,1.5275116366168864
10.5,3165,1.5213691202334823
10.55,3175,1.5709066808693635
10.6,3177,1.5643206832360175
