detections,calls,ci
18.3,5457,5.321138299273944
18.35,5463,5.297940184637799
18.4,5503,5.303602096688627
18.45,5504,5.316398386125704
18.5,5518,5.348861187206114
18.55,5535,5.354200201710802
18.6,5554,5.361235976899358
18.65,5555,5.352047290523506
18.7,5564,5.366070517613424
18.75,5590,5.349534465726902
18.8,5596,5.383046423726995
18.85,5622,5.391380732242899
18.9,5623,5.422686345345818
18.95,5659,5.400635869969386
19.0,5663,5.385543612301361
19.05,5668,5.4272449548550865
19.1,5677,5.436836506646121
19.15,5724,5.423350458895313
19.2,5735,5.434539612515488
19.25,5741,5.47727076197626
19.3,5750,5.509134305859678
19.35,5767,5.488481228901124
19.4,5775,5.5218456334816155
19.45,5784,5.509787999551344
19.5,5785,5.490624372509924
19.55,5790,5.502811263345309
19.6,5803,5.535742335044145
19.65,5841,5.549387912193559
19.7,5846,5.53869089225965
19.75,5847,5.5191926039956245
19.8,5856,5.553410195546516
19.85,5866,5.587332297259579
19.9,5885,5.578085621429632
19.95,5903,5.5687373613773525
20.0,5912,5.550642485334468
20.05,5913,5.59283003496441
20.1,5932,5.627794523612246
20.15,5941,5.621604948766855
20.2,5959,5.656221777830144
20.25,5968,5.639685008934452
20.3,5971,5.682479106868762
20.35,5983,5.718155139553316
20.4,5999,5.709961400920324
20.45,6023,5.753651692620956
20.5,6036,5.7902991287151995
20.55,6048,5.785279578378213
20.6,6053,5.816611659720802
20.65,6074,5.86081787807811
20.7,6076,5.87689584729898
20.75,6087,5.913997548190226
20.8,6088,5.898916239446022
20.85,6096,5.891870517925526
20.9,6127,5.936729672134313
20.95,6142,5.931186373736707
21.0,6149,5.948204434953459
21.05,6159,5.9859872869895066
21.1,6170,5.980248757367874
21.15,6174,5.966381332097371
21.2,6178,6.011802791176701
21.25,6201,6.029787973055106
21.3,6210,6.039694760499076
21.35,6213,6.078014988464571
21.4,6229,6.123863094485374
21.45,6231,6.119274123619565
21.5,6233,6.149060741283988
21.55,6237,6.144334284525866
21.6,6238,6.139525975187335
21.65,6240,6.115820321101659
21.7,6252,6.134361645680827
21.75,6264,6.173027701217612
21.8,6280,6.21910192873537
21.85,6303,6.238644900938023
21.9,6309,6.268783550259172
21.95,6315,6.307843672761714
22.0,6331,6.354149510359352
22.05,6334,6.350331944079772
22.1,6351,6.360041446405832
22.15,6354,6.380206438666384
22.2,6367,6.419710647684986
22.25,6370,6.4499710852065055
22.3,6384,6.496298700029116
22.35,6405,6.51722104888272
22.4,6409,6.495263751380692
22.45,6417,6.505716547775502
22.5,6418,6.545490355962645
22.55,6435,6.592239361552339
22.6,6456,6.613947323648714
22.65,6469,6.654301030160869
22.75,6480,6.645057637071329
22.8,6487,6.692187445073546
22.85,6502,6.6888499908429715
22.9,6507,6.711247216427064
22.95,6520,6.752015091807776
23.0,6535,6.7811468056664275
23.05,6543,6.7931391712521245
23.1,6560,6.773919928667594
23.15,6571,6.815440279248289
23.2,6597,6.8285679904354755
23.25,6609,6.827548242231614
23.3,6610,6.857339484085645
23.35,6661,6.888326516651196
23.4,6668,6.888500794802885
23.45,6714,6.92059735861002
23.5,6753,6.901176421451635
23.55,6771,6.934460887480728
23.6,6810,6.95924214264743
23.65,6822,6.993486269379528
23.7,6874,7.0288617001616975
23.75,6885,7.054468583812673
23.8,6926,7.090758831041994
23.85,6978,7.128144372836453
23.9,6980,7.111451553656257
23.95,7001,7.137838594420583
24.0,7029,7.17611649849694
24.05,7066,7.1821030207036145
24.1,7067,7.209363855431351
24.15,7075,7.191190318716367
24.2,7078,7.184944035968547
24.25,7080,7.223969476679701
24.3,7081,7.26668513147501
24.35,7100,7.253688316987434
24.4,7120,7.247230864268089
24.5,7121,7.281736331397891
24.55,7131,7.3211641014254
24.6,7132,7.305306783428057
24.65,7147,7.34839915900055
24.7,7148,7.333779434916217
24.75,7172,7.341338229505571
24.8,7176,7.3527434879778015
24.85,7179,7.381000623221758
24.9,7184,7.420742227028237
24.95,7199,7.464068850164766
25.0,7205,7.4583086554526545
25.05,7220,7.457632586820028
25.1,7223,7.46590216919563
25.15,7227,7.4779522731828125
25.2,7231,7.506569709261348
25.25,7235,7.546477257634849
25.3,7238,7.531476933510452
25.35,7242,7.517660420636196
25.4,7250,7.561130285876575
25.45,7264,7.55487205715623
25.5,7267,7.590414744926656
25.55,7274,7.599234948335261
25.6,7276,7.594083170468966
25.65,7277,7.57619866423789
25.7,7284,7.605077829976495
25.75,7287,7.645099279930902
25.8,7301,7.688598103685744
25.85,7319,7.67569007972573
