detections,calls,ci
5.0,434,0.9088146125585789
5.05,444,0.9242704149760501
5.1,452,0.9182762111696023
5.15,459,0.9427885234770308
5.2,460,0.9561907759437966
5.25,467,0.9885378090897687
5.3,471,0.9907213533582488
5.35,475,0.9924163440814544
5.4,478,1.0127720375286828
5.45,483,1.0322614978773548
5.5,486,1.0324940677795684
5.55,489,1.0322614978773548
5.6,496,1.0500186665007438
5.65,503,1.0488747303658335
5.7,510,1.0744304537753946
5.75,511,1.0901811776030623
5.8,518,1.1225171713608662
5.85,527,1.1111229454925318
5.9,529,1.1335851092882263
6.0,537,1.1595516374875248
6.05,543,1.1634791790143904
6.1,545,1.1504047983210086
6.15,548,1.1535311872680336
6.2,551,1.1562338863742059
6.25,552,1.1749787232116162
6.3,554,1.176816383298601
6.35,561,1.2024484188521352
6.4,562,1.21930275157567
6.45,564,1.1717046556193245
6.5,565,1.171909552823937
6.55,569,1.204044766609614
6.6,580,1.2114005118044155
6.65,588,1.2183177746384561
6.7,599,1.209019768242025
6.75,602,1.21516048322845
6.8,603,1.23650992717406
6.85,604,1.2417415995286618
6.9,612,1.269468865313364
6.95,613,1.2888024674091838
7.0,616,1.2927087839107458
7.05,620,1.325538305746009
7.1,622,1.3429933730290704
7.15,626,1.345672396982267
7.2,636,1.3336644255583936
7.3,639,1.358634903128872
7.35,652,1.359871390977838
7.4,655,1.381765247789942
7.45,656,1.3892169736941742
7.5,661,1.3824601260072564
7.55,663,1.4098041707981999
7.6,664,1.4295912702587406
7.65,665,1.4220134317227808
7.7,670,1.4275744463950033
7.75,671,1.459344715959872
7.8,681,1.4771691846230748
7.9,692,1.492047988504391
7.95,694,1.4957445637541191
8.0,699,1.511870364813068
8.05,702,1.4698366575915842
8.1,703,1.472611014490928
8.15,706,1.4944598355258665
8.2,707,1.5029506977941758
8.3,710,1.4868896394823659
8.35,714,1.5136162657688372
8.45,715,1.5275116366168864
8.55,720,1.4828471937458694
8.6,721,1.488826114762903
8.65,722,1.5199480912189072
8.7,737,1.5376946380865089
8.75,743,1.5487411016693524
8.8,744,1.5532304400828614
8.85,750,1.5696834712769323
8.9,752,1.5175767525894694
8.95,755,1.5212112936735644
9.0,757,1.543305543306315
9.05,760,1.552457342409124
9.1,765,1.579594631543169
9.2,766,1.5959263140884667
9.25,772,1.60358068085145
9.3,773,1.6345741953181567
9.35,781,1.635602090974452
9.45,788,1.6131347742826696
9.5,789,1.6310450637551372
9.55,794,1.6426331909467793
9.6,796,1.6245550775520046
9.65,799,1.6297196691455864
9.7,803,1.6462833291994423
9.75,806,1.6507982917364554
9.8,808,1.6723291542038008
9.85,812,1.6819209850643995
9.9,816,1.708126224844054
9.95,817,1.728109892339026
10.0,823,1.7365644243735963
10.05,824,1.766584218201895
10.1,833,1.7688932132833795
10.2,840,1.7780992098305424
10.3,844,1.731579856662695
10.35,845,1.7436015026375722
10.4,849,1.6940115702084209
10.45,850,1.70009523262669
10.5,854,1.7170987158576525
10.6,857,1.6883326686408693
10.65,859,1.7102333758876298
10.75,863,1.7023533710719405
